nohup: ignoring input
Epoch: 0, Loss D: 0.8112196922302246, Loss G: 0.7142417430877686, MMD: 0.06437744945287704, EMD: 0.3119154350941079, GPU Memory: 207/8192 MiB, GPU Utilization: 5%, GPU Temperature: 37°C
Epoch: 1, Loss D: 0.63039231300354, Loss G: 0.868638277053833, MMD: 0.06831507384777069, EMD: 0.2731847042256462, GPU Memory: 207/8192 MiB, GPU Utilization: 0%, GPU Temperature: 40°C
Epoch: 2, Loss D: 0.4381713569164276, Loss G: 1.3992993831634521, MMD: 0.07021598517894745, EMD: 0.2109370324872541, GPU Memory: 207/8192 MiB, GPU Utilization: 3%, GPU Temperature: 42°C
Epoch: 3, Loss D: 0.6612796783447266, Loss G: 1.0115807056427002, MMD: 0.06568482518196106, EMD: 0.21520105896567254, GPU Memory: 207/8192 MiB, GPU Utilization: 5%, GPU Temperature: 44°C
Epoch: 4, Loss D: 0.5527728796005249, Loss G: 0.9232439994812012, MMD: 0.06501264870166779, EMD: 0.20124304815277003, GPU Memory: 207/8192 MiB, GPU Utilization: 9%, GPU Temperature: 45°C
Epoch: 5, Loss D: 0.3978902995586395, Loss G: 1.5864121913909912, MMD: 0.06516817212104797, EMD: 0.24552837896834953, GPU Memory: 207/8192 MiB, GPU Utilization: 1%, GPU Temperature: 46°C
Epoch: 6, Loss D: 0.552406907081604, Loss G: 1.3180999755859375, MMD: 0.06390656530857086, EMD: 0.22603824024349473, GPU Memory: 207/8192 MiB, GPU Utilization: 2%, GPU Temperature: 47°C
Epoch: 7, Loss D: 0.5203181505203247, Loss G: 1.0270239114761353, MMD: 0.06442128121852875, EMD: 0.1871281786523582, GPU Memory: 207/8192 MiB, GPU Utilization: 4%, GPU Temperature: 48°C
Epoch: 8, Loss D: 0.3822171688079834, Loss G: 1.5227015018463135, MMD: 0.0641428753733635, EMD: 0.15252683122950972, GPU Memory: 207/8192 MiB, GPU Utilization: 3%, GPU Temperature: 49°C
Epoch: 9, Loss D: 0.5891626477241516, Loss G: 1.1027430295944214, MMD: 0.06260652840137482, EMD: 0.14785125122640883, GPU Memory: 207/8192 MiB, GPU Utilization: 1%, GPU Temperature: 49°C
Epoch: 10, Loss D: 0.8136171102523804, Loss G: 0.9000266194343567, MMD: 0.06267815828323364, EMD: 0.1397027576644669, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 50°C
Epoch: 11, Loss D: 0.4499512314796448, Loss G: 1.7946410179138184, MMD: 0.06250786036252975, EMD: 0.14439417698011137, GPU Memory: 207/8192 MiB, GPU Utilization: 7%, GPU Temperature: 50°C
Epoch: 12, Loss D: 0.507739782333374, Loss G: 1.2827894687652588, MMD: 0.0625084787607193, EMD: 0.13519653479304172, GPU Memory: 207/8192 MiB, GPU Utilization: 3%, GPU Temperature: 51°C
Epoch: 13, Loss D: 0.7628952860832214, Loss G: 0.9240946769714355, MMD: 0.06250019371509552, EMD: 0.12786865845541867, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 51°C
Epoch: 14, Loss D: 0.35723841190338135, Loss G: 1.5018033981323242, MMD: 0.06250013411045074, EMD: 0.11595529201182049, GPU Memory: 207/8192 MiB, GPU Utilization: 8%, GPU Temperature: 51°C
Epoch: 15, Loss D: 0.594355583190918, Loss G: 1.113276481628418, MMD: 0.06250005215406418, EMD: 0.12145055330133615, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 52°C
Epoch: 16, Loss D: 0.758598804473877, Loss G: 0.8584312796592712, MMD: 0.0625, EMD: 0.10837995376455554, GPU Memory: 207/8192 MiB, GPU Utilization: 3%, GPU Temperature: 52°C
Epoch: 17, Loss D: 0.6652392745018005, Loss G: 1.0382969379425049, MMD: 0.0625, EMD: 0.11591577549531779, GPU Memory: 207/8192 MiB, GPU Utilization: 3%, GPU Temperature: 52°C
Epoch: 18, Loss D: 0.564855694770813, Loss G: 0.9797859787940979, MMD: 0.0625000149011612, EMD: 0.10948769741944674, GPU Memory: 207/8192 MiB, GPU Utilization: 4%, GPU Temperature: 52°C
Epoch: 19, Loss D: 0.7921088337898254, Loss G: 0.9234793186187744, MMD: 0.0625, EMD: 0.101346852039931, GPU Memory: 207/8192 MiB, GPU Utilization: 2%, GPU Temperature: 52°C
Epoch: 20, Loss D: 0.6811939477920532, Loss G: 0.8864923715591431, MMD: 0.0625, EMD: 0.10501859728304791, GPU Memory: 207/8192 MiB, GPU Utilization: 1%, GPU Temperature: 53°C
Epoch: 21, Loss D: 0.7415338754653931, Loss G: 1.3293170928955078, MMD: 0.0625, EMD: 0.09943307000471856, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 53°C
Epoch: 22, Loss D: 0.5430448055267334, Loss G: 0.9513574838638306, MMD: 0.0625, EMD: 0.09054313505404879, GPU Memory: 207/8192 MiB, GPU Utilization: 1%, GPU Temperature: 53°C
Epoch: 23, Loss D: 0.5577583909034729, Loss G: 1.1657445430755615, MMD: 0.0625, EMD: 0.09409217752277166, GPU Memory: 207/8192 MiB, GPU Utilization: 5%, GPU Temperature: 53°C
Epoch: 24, Loss D: 0.7528434991836548, Loss G: 0.882996678352356, MMD: 0.0625, EMD: 0.10796702382506793, GPU Memory: 207/8192 MiB, GPU Utilization: 3%, GPU Temperature: 53°C
Epoch: 25, Loss D: 0.6724385619163513, Loss G: 1.019568920135498, MMD: 0.06250022351741791, EMD: 0.09724040422024328, GPU Memory: 207/8192 MiB, GPU Utilization: 2%, GPU Temperature: 53°C
Epoch: 26, Loss D: 0.5977798104286194, Loss G: 1.1263713836669922, MMD: 0.0625, EMD: 0.08945143648174174, GPU Memory: 207/8192 MiB, GPU Utilization: 8%, GPU Temperature: 53°C
