top - 08:18:04 up 168 days, 18:18,  2 users,  load average: 14.20, 14.28, 14.30
Tasks: 590 total,   1 running, 576 sleeping,   0 stopped,  13 zombie
%Cpu(s): 10.9 us, 33.6 sy,  0.0 ni, 55.2 id,  0.0 wa,  0.0 hi,  0.3 si,  0.0 st
MiB Mem :  64141.7 total,    689.5 free,  25385.6 used,  38066.6 buff/cache
MiB Swap:   8192.0 total,      0.0 free,   8192.0 used.  28416.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
1632949 yz1122    20   0   10.9g   1.3g  10896 S 100.0   2.1  43322:23 MATLAB
1632156 yz1122    20   0   10.9g   1.3g     20 S  94.4   2.1  38699:35 MATLAB
1632689 yz1122    20   0   11.0g   1.3g   3596 S  94.4   2.1  43463:58 MATLAB
1692364 yz1122    20   0   10.9g   1.3g  11868 S  94.4   2.1  43840:36 MATLAB
1698853 yz1122    20   0   10.9g   1.3g   5604 S  94.4   2.1  42794:00 MATLAB
2135521 yz1122    20   0   20.8g 988188  28324 S  94.4   1.5 183:45.54 java
3000085 yz1122    20   0   10.0g   1.4g  10668 S  94.4   2.2  38951:39 MATLAB
3423621 yz1122    20   0   10.9g   1.3g   9020 S  94.4   2.1  32021:59 MATLAB
3429266 yz1122    20   0   10.9g   1.3g     32 S  94.4   2.1  32492:21 MATLAB
3840698 yz1122    20   0   10.9g   1.3g   7764 S  94.4   2.1  31621:32 MATLAB
1632569 yz1122    20   0   11.0g   1.3g   9528 S  88.9   2.2  42840:49 MATLAB
1632797 yz1122    20   0   11.0g   1.4g     32 S  88.9   2.2  38713:37 MATLAB
1634183 yz1122    20   0   10.9g   1.3g   3680 S  88.9   2.1  43748:28 MATLAB
3211091 yz1122    20   0   10.9g   1.3g     32 S  88.9   2.1  42413:29 MATLAB
2222800 hp921     20   0    9988   4552   3344 R  11.1   0.0   0:00.04 top
2222489 root      20   0       0      0      0 I   5.6   0.0   0:00.04 kworker/19:2-events
      1 root      20   0  172036   9336   4172 S   0.0   0.0 205:20.50 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   3:21.84 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 rcu_par_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_flushwq
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
     10 root       0 -20       0      0      0 I   0.0   0.0   0:01.25 mm_percpu_wq
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_rude_
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_trace
     13 root      20   0       0      0      0 S   0.0   0.0   9:58.68 ksoftirqd/0
     14 root      20   0       0      0      0 I   0.0   0.0  95:54.83 rcu_sched
     15 root      rt   0       0      0      0 S   0.0   0.0   0:41.53 migration/0
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/0
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     20 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/1
     21 root      rt   0       0      0      0 S   0.0   0.0   0:37.45 migration/1
     22 root      20   0       0      0      0 S   0.0   0.0   3:45.13 ksoftirqd/1
     24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-kblockd
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     26 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/2
     27 root      rt   0       0      0      0 S   0.0   0.0   0:41.23 migration/2
     28 root      20   0       0      0      0 S   0.0   0.0   2:44.25 ksoftirqd/2
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0H-events_highpri
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     32 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/3
     33 root      rt   0       0      0      0 S   0.0   0.0   0:37.77 migration/3
     34 root      20   0       0      0      0 S   0.0   0.0   2:19.18 ksoftirqd/3
     36 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0H-kblockd
     37 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
