utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
37 %, 16 %, 6144 MiB, 5212 MiB, 767 MiB, 51
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
38 %, 15 %, 6144 MiB, 5214 MiB, 765 MiB, 44
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
39 %, 15 %, 6144 MiB, 5212 MiB, 767 MiB, 45
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
39 %, 16 %, 6144 MiB, 5212 MiB, 767 MiB, 46
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
36 %, 14 %, 6144 MiB, 5212 MiB, 767 MiB, 47
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
38 %, 15 %, 6144 MiB, 5212 MiB, 767 MiB, 48
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
37 %, 13 %, 6144 MiB, 5212 MiB, 767 MiB, 50
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
39 %, 14 %, 6144 MiB, 5212 MiB, 767 MiB, 50
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
39 %, 16 %, 6144 MiB, 5212 MiB, 767 MiB, 49
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
39 %, 16 %, 6144 MiB, 5212 MiB, 767 MiB, 50
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
40 %, 16 %, 6144 MiB, 5212 MiB, 767 MiB, 50
